Quarterly national accounts, 3. quarter 2018;
Table 12. Gross domestic product and value added by industry. Seasonally adjusted. At constant 2016-prices. Million kroner;
 
                                                                ;     2015   ;    2016   ;    2017   ;  78:1    ;  78:2    ;  78:3    ;  78:4    ;  79:1    ;  79:2    ;  79:3    ;  79:4    ;  80:1    ;  80:2    ;  80:3    ;  80:4    ;  81:1    ;  81:2    ;  81:3    ;  81:4    ;  82:1    ;  82:2    ;  82:3    ;  82:4    ;  83:1    ;  83:2    ;  83:3    ;  83:4    ;  84:1    ;  84:2    ;  84:3    ;  84:4    ;  85:1    ;  85:2    ;  85:3    ;  85:4    ;  86:1    ;  86:2    ;  86:3    ;  86:4    ;  87:1    ;  87:2    ;  87:3    ;  87:4    ;  88:1    ;  88:2    ;  88:3    ;  88:4    ;  89:1    ;  89:2    ;  89:3    ;  89:4    ;  90:1    ;  90:2    ;  90:3    ;  90:4    ;  91:1    ;  91:2    ;  91:3    ;  91:4    ;  92:1    ;  92:2    ;  92:3    ;  92:4    ;  93:1    ;  93:2    ;  93:3    ;  93:4    ;  94:1    ;  94:2    ;  94:3    ;  94:4    ;  95:1    ;  95:2    ;  95:3    ;  95:4    ;  96:1    ;  96:2    ;  96:3    ;  96:4    ;  97:1    ;  97:2    ;  97:3    ;  97:4    ;  98:1    ;  98:2    ;  98:3    ;  98:4    ;  99:1    ;  99:2    ;  99:3    ;  99:4    ;  00:1    ;  00:2    ;  00:3    ;  00:4    ;  01:1    ;  01:2    ;  01:3    ;  01:4    ;  02:1    ;  02:2    ;  02:3    ;  02:4    ;  03:1    ;  03:2    ;  03:3    ;  03:4    ;  04:1    ;  04:2    ;  04:3    ;  04:4    ;  05:1    ;  05:2    ;  05:3    ;  05:4    ;  06:1    ;  06:2    ;  06:3    ;  06:4    ;  07:1    ;  07:2    ;  07:3    ;  07:4    ;  08:1    ;  08:2    ;  08:3    ;  08:4    ;  09:1    ;  09:2    ;  09:3    ;  09:4    ;  10:1    ;  10:2    ;  10:3    ;  10:4    ;  11:1    ;  11:2    ;  11:3    ;  11:4    ;  12:1    ;  12:2    ;  12:3    ;  12:4    ;  13:1    ;  13:2    ;  13:3    ;  13:4    ;  14:1    ;  14:2    ;  14:3    ;  14:4    ;  15:1    ;  15:2    ;  15:3    ;  15:4    ;  16:1    ;  16:2    ;  16:3    ;  16:4    ;  17:1    ;  17:2    ;  17:3    ;  17:4    ;  18:1    ;  18:2    ;  18:3                      
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gross domestic product (1)..................................;3082694;3119296;3181071;293066;297817;301391;301788;300470;309455;317522;320371;332806;326008;320134;327048;332586;333966;329800;329716;332026;332060;331962;333023;339326;343069;347811;347942;357275;359492;369901;377585;384988;379699;390737;394508;401904;396454;406802;409030;407317;416267;405413;412765;411224;404919;408341;408925;406253;411044;415044;417948;416429;420927;416787;427948;431579;433836;432776;435950;445220;447542;453405;450159;447198;454961;464027;480537;475058;486122;479517;498468;494574;498890;510646;516945;524753;524034;541497;532810;547116;560314;559711;567619;573095;579589;569193;572104;576242;576504;588350;598471;607318;598547;604356;604594;611667;610581;618097;623469;618016;630856;621494;628512;628727;625733;634524;634728;657036;658388;650786;657180;668071;671574;677146;678669;683039;683892;690911;703556;704076;704065;713099;720859;712091;712446;711144;713372;707593;701369;701821;702195;716010;708399;690819;710213;710486;707548;718949;719320;734701;736433;725758;731689;733289;738586;745830;744509;748235;753765;756934;766187;764247;768298;777301;770475;777810;775498;769534;784852;788296;794507;798720;800333;802927;806538;811190;
Agriculture and forestry....................................;21234;21420;21472;4271;4655;3976;3786;3895;4276;3010;4119;4011;4245;4072;4097;4147;3938;4432;4436;4267;4293;4326;4221;4264;4462;3496;4182;4100;3956;5687;4585;3674;4010;4779;4019;3796;4636;2811;3633;3661;5002;2962;3567;3890;3360;3639;3979;3786;3355;4204;4225;4127;4030;4898;3985;4178;3997;5159;4379;4249;3832;3951;4313;4467;4107;5297;4210;4286;4745;4290;4565;4711;4267;4997;4781;4435;4409;4935;4872;4466;4998;4549;4061;4354;4563;4565;4720;4415;4175;4993;4747;4375;4780;4520;4370;4367;4618;4219;4053;4399;4249;4423;4431;4195;4167;4348;3987;4422;4351;5205;4275;4270;4193;5085;4747;4714;4370;5686;4925;5019;4177;5795;5430;5506;4505;6287;5286;5280;4160;6081;5434;5233;5667;5364;5166;4979;5233;4987;4856;5683;4784;4475;5527;5149;5430;4332;5266;5108;5222;4954;5075;5149;5142;5877;5060;5354;5273;5436;5318;5328;5381;5354;5401;5494;5502;4007;
Fishing and aquaculture.....................................;48501;43403;44543;1315;1539;1468;2286;1387;1634;1637;1791;1868;1788;1628;1702;2128;2296;2308;1968;2101;1902;2062;1933;1933;2015;2090;2080;2172;2238;2161;1998;1853;2289;2000;1868;1682;2272;2134;2149;1970;2292;2387;2707;2937;2040;2457;2698;2777;2208;2631;2642;2021;2242;2493;2308;3069;2808;3132;3307;3224;2840;3103;3543;4024;4373;4225;3822;4455;4494;4936;4868;4971;5204;5242;5343;5832;4833;4958;4931;5273;5801;5350;4928;5216;6255;5392;5515;5363;5413;5778;5532;5030;5510;5275;5371;6169;4852;4855;5059;6828;5637;7356;5505;6254;6214;6708;6800;7776;7092;8005;7090;8168;7595;7484;8407;8352;7791;6715;8372;9549;8907;7278;8949;9800;8480;8078;9189;10352;7941;9293;10758;12589;11741;13353;10561;11669;12515;15327;12327;14436;14222;13474;13850;12570;12044;11269;13527;13655;14321;14104;13301;11917;12802;12376;11828;11245;10806;10827;10508;10579;10796;11131;12072;11774;11363;11354;
Mining and quarrying........................................;5196;5012;4891;889;909;859;982;900;911;915;928;884;824;813;742;787;810;789;764;810;769;757;572;777;879;833;856;832;817;822;825;807;743;788;822;827;920;873;879;894;914;903;877;817;811;826;749;887;869;892;872;862;847;841;879;899;862;840;849;919;909;908;911;765;780;806;767;863;925;998;1025;908;985;948;990;1148;1128;1080;1191;1224;1240;1285;1257;1082;1128;1112;1042;1199;1141;1258;1224;1139;1171;1130;1264;1331;1315;1339;1419;1502;1418;1499;1316;1287;1292;1196;1348;1241;1290;1465;1403;1391;1325;1218;1226;1283;1441;1401;1524;1719;1360;1669;1696;1613;1776;1595;1624;1170;1177;1268;1303;1319;1500;1509;1425;1537;1349;1380;1400;1521;1330;1306;1359;1426;1414;1343;1293;1243;1294;1311;1382;1326;1322;1308;1239;1237;1182;1265;1257;1256;1215;1242;1195;1210;1210;1182;
Oil and gas extraction including services...................;391146;395977;399043;15252;16049;20255;17362;16601;15387;25699;25281;27147;25804;22969;26963;24772;25924;24713;24865;24629;25120;25974;26118;28086;29713;29253;30973;31504;34789;36724;33592;33727;32834;37555;38404;39278;30609;39886;41719;39997;42148;40564;43639;44125;41911;45085;47087;53312;57420;60270;58463;58069;59492;59197;66359;70450;71279;69520;72762;75696;77759;80028;78362;74410;78075;82870;85570;90530;91562;88483;96516;93042;98850;103119;105976;108020;110473;118152;110234;118977;117535;117883;117653;115628;116802;108260;108859;110104;109042;113610;116689;119679;118408;119161;117134;117690;119883;125914;124414;120580;125947;120841;127126;124194;123290;125071;125630;130110;130253;120885;122359;123255;120278;123596;116800;113971;115443;116175;111679;110273;109222;109555;109719;108017;106056;105162;110638;108444;105134;106699;103787;105738;103489;92223;102081;98558;94176;99086;96958;99910;99920;91517;92879;91860;94568;96022;92818;92930;91822;93627;97656;95147;97041;102207;97050;98962;99151;93236;102671;100224;100720;101475;97242;96900;96121;98333;
  Oil and gas extraction....................................;355081;360580;365600;13936;12957;15633;15152;15008;16407;18921;20744;23750;23101;19104;23481;21449;23098;21311;21391;21945;21711;22688;22267;23772;26415;26492;26610;28450;29369;30146;31403;28681;29473;33369;33429;34133;26490;36203;37947;36663;38645;36492;38535;40191;39210;40846;42795;50301;53293;55947;53906;54026;56634;53814;61390;63664;64358;62961;66620;70886;71603;74500;73523;70787;74586;78871;81276;84947;88953;84296;92324;90722;93188;97699;100731;103107;106154;111873;103969;113282;110785;110952;111146;110568;111079;103252;104185;104531;106478;109338;112189;116023;112134;113962;113054;114336;115590;121753;119729;114958;120742;117065;123477;121572;117749;119782;120575;124218;125553;115165;116774;116376;114072;116060;109689;107425;107436;108414;103691;101027;101502;101187;101195;99541;96737;95302;100037;98998;95632;97345;94366;95238;95719;83400;92640;90967;84657;90301;88192;90633;91612;82483;83890;81986;85129;85558;83333;83637;82709;84592;88014;85721;87774;93535;88375;90103;90287;84395;93951;91844;92421;93093;88838;88296;87423;89653;
  Service activities incidental to oil and gas..............;36000;35397;33443;12094;13589;13834;12411;12036;14056;16149;15721;13053;10680;10273;11371;11612;10525;9925;10131;10466;10733;10614;10978;11983;11792;10769;10785;12757;15515;17002;16316;14488;13075;12491;12417;11493;10127;8391;7496;7747;8127;7868;7452;6839;6261;6206;5830;5422;5306;5439;5370;5167;5215;5842;6415;6587;6499;6336;5793;5197;5133;4910;3955;3180;2833;2730;3338;3900;3439;2675;2722;3046;3462;3970;3977;3604;3950;4690;5267;5701;5472;5323;5383;5014;4237;3693;3221;3060;3087;2958;3107;3519;3930;3770;3171;2681;2608;2896;3250;5973;5243;1697;1608;1451;3942;3832;3772;4018;4109;4166;4556;5296;5796;6247;6363;6553;6602;6674;7322;7923;8051;7917;7663;7675;9151;10004;9864;9645;9260;8629;8605;8862;8789;8818;8724;8322;7965;8219;8583;8550;8531;8822;9253;9769;10205;10254;10065;9289;8947;9248;9392;9361;9235;9050;8355;8859;8863;8842;8719;8381;8299;8382;8403;8604;8698;8680;
Manufacturing...............................................;213778;203303;203398;39401;40541;38888;40254;40684;41364;42085;42152;41761;40843;40763;40925;40121;40245;40403;40550;40952;40649;39964;39802;39853;39055;38978;39823;41211;41662;41636;42367;43390;43375;43538;43731;42772;42803;44390;43558;43456;44177;45214;44131;43420;42070;41007;41644;41024;40107;40042;40259;39807;40070;39935;39762;39383;38722;38563;38810;39056;39714;39133;39215;38963;40026;40456;40550;40458;40724;41497;41718;41396;41696;40746;41006;43534;41974;43421;43244;43992;44699;45463;46396;43714;45316;44972;45181;45786;44670;44865;44719;45301;44445;44718;44352;44413;44521;43863;44602;43995;44643;44267;43361;45161;45158;45887;45547;46384;47093;48299;48253;48300;49180;49739;50052;49820;49888;50251;51942;52293;52097;52044;52761;52742;55866;54905;52824;50430;49658;49285;49861;50303;50633;50904;51636;51471;51678;51429;51791;52896;51820;52696;53208;53528;54443;55703;55002;55084;56243;57142;56641;55197;54262;52956;52009;52177;51030;50533;50570;51286;51416;50803;51417;51284;51907;52192;
  Food products, beverages and tobacco......................;42008;42675;42991;9785;9956;9703;10015;10339;10378;10805;10814;10736;10505;10384;10839;9686;9384;9367;9708;9596;9345;9435;9481;9029;8962;8796;8857;8823;8550;8595;8793;9032;9014;9022;8760;8748;8909;9019;8922;8401;8275;8829;9086;8503;8316;7882;8655;8392;8141;8611;8506;7011;7330;7323;7332;7312;7328;7166;7240;7678;7887;7752;8112;7879;7854;8047;8525;7680;8101;8332;8245;8630;8939;8994;9044;8489;8719;8686;8675;8561;8056;8502;8484;8160;8120;8241;8130;8206;8073;8371;8586;9495;9247;9106;9205;9136;9252;9350;9398;9270;9400;9417;9010;9617;9939;10008;9912;9900;9947;10110;9688;9826;9862;10092;10056;9284;9312;9189;9474;8909;9134;8991;8974;8884;8911;8874;8955;9193;9160;9435;9535;9896;9768;9746;9688;9573;9777;9841;9687;10086;10050;10047;10394;9929;9756;10490;10294;10072;10745;10623;10473;10360;10539;10514;10591;10758;10557;10748;10670;10782;10586;10812;10769;10548;10889;10870;
  Textiles, wearing apparel, leather........................;2926;2987;3253;980;964;903;954;926;930;969;983;1005;985;986;980;953;978;940;925;921;903;877;818;843;822;798;808;826;832;834;835;859;860;869;890;877;870;914;875;825;841;826;790;830;768;708;706;635;621;615;637;657;667;671;674;677;674;685;679;722;749;727;705;739;744;754;776;733;735;760;796;752;724;693;646;752;736;814;804;745;783;748;721;754;808;784;793;701;650;622;625;643;612;623;630;683;683;685;740;613;630;614;586;646;616;613;600;567;615;628;647;666;646;664;740;703;733;745;760;791;807;731;692;877;759;837;781;610;610;599;593;682;617;669;705;743;785;778;816;748;739;703;685;808;832;843;811;784;781;806;797;777;735;704;735;728;734;754;791;785;847;812;858;884;906;911;
